Provincia;Anio;Trimestre;01_alimentos;02_tabaco;03_vestido;04_vivienda;05_hogar;06_sanidad;07_transporte;08_comunicaciones;09_ocio;10_enseñanza;11_restaurantes;12_otros;00_general
Toledo;2024;1;0.7498311455079797;0.5735996435666082;0.6143056407501309;0.8576367640037937;0.9782152654510247;0.4818891855295016;0.6080906725275979;0.716027927969837;0.439626755422619;0.6244933410538505;0.7672143381024767;0.7569815824219913;1.0
Toledo;2024;2;0.7305929400454048;0.48046889024821815;0.5519279900902708;0.8878955854244911;0.8654357671918286;0.4630259495893391;0.5641085922071749;0.7157024510890645;0.5073346554186885;0.6244933410538505;0.7067816395627905;0.7622075717647013;1.0
Toledo;2024;3;0.7833866872589379;0.40781760092268665;0.638713382469695;0.7931049849944066;0.806999936389397;0.5062637319109359;0.5095818497651168;0.7154783394162084;0.45379261183242564;0.6547808559571106;0.7010289524918437;0.8046856376352226;1.0
Toledo;2024;4;0.785440880954841;0.3831025908885155;0.5791091225975269;0.8383347926038068;0.7686131018275316;0.518348688269242;0.5581715886618932;0.7153439442237698;0.26385999688501477;0.5645289589050903;0.669894593925947;0.832269314983762;0.992987012987014
Valencia/València;2002;1;0.41491996815834287;0.16940339964260018;0.21833757710567428;0.12345566194378965;0.3776556718791661;0.5225793355872649;0.9029848023261193;0.962708999446216;0.28594772438112775;0.7302958262503559;0.20165649559674667;0.527863309566538;0.4219782133619266
Valencia/València;2002;2;0.43448454086098015;0.24011123993932348;0.2366878032370837;0.127633146847563;0.41704812947698944;0.513696876890636;0.8923621570154451;0.9631602170696737;0.31037282490141904;0.7482319542076534;0.22164701705219883;0.5280756901642185;0.4305827002702161
Valencia/València;2002;3;0.43865762393091773;0.2476270549346219;0.1812401663254671;0.1170870122565539;0.3873656078784746;0.5136292832267617;0.9006072883502396;0.9699245837818246;0.30543448800356754;0.7521454111164713;0.20159461598047237;0.5342518071984589;0.4117596729361918
Valencia/València;2002;4;0.4636942132665869;0.22942328294936634;0.19703803905510578;0.12369854165356714;0.38974652390053083;0.4753939022736928;0.8933795231042739;0.9734489487728201;0.28889674087460754;0.7311477279857549;0.1482512951652423;0.5276347177043484;0.3917006641358089
Valencia/València;2003;1;0.4676707283788856;0.21945014746747024;0.20749824519886173;0.11755518640703365;0.40551677374387424;0.4822472763696944;0.8938038258107551;0.9764489854848101;0.27954740476043616;0.7264307550644963;0.1519532213200452;0.5208307134016249;0.39481119210041227
Valencia/València;2003;2;0.4402413561991376;0.15734479451048303;0.2695617034870701;0.07822984453416483;0.4083726183869371;0.4670837862750139;0.8984350790088694;0.9853094710427541;0.2973579365649592;0.7794311385539642;0.20283140261622143;0.5304428597608202;0.388330824790776
Valencia/València;2003;3;0.4667421973577701;0.21171542584926295;0.26886967386511745;0.076215493756396;0.3995281288418222;0.4530543518594416;0.891111554692474;0.993752860139922;0.2978366912935468;0.8073759161107326;0.2163851118276173;0.5165722114239593;0.40876372151405205
Valencia/València;2003;4;0.4382372141430422;0.18655790629814265;0.29742842387556273;0.07774790306676763;0.4213261206993441;0.44944815764263996;0.888070838281115;0.9990361631583003;0.25627646509926394;0.8140851626878641;0.23868546829734258;0.5046979812015345;0.38927566003650066
Valencia/València;2004;1;0.4360887102929076;0.1557504201007413;0.19978000079447003;0.12095116525143562;0.3766643373415801;0.45034711343220685;0.9036661102240416;1.0;0.2417589220821451;0.8168995604539794;0.2348397367263363;0.4950358039919575;0.3855444865681215
Valencia/València;2004;2;0.4800649676108832;0.1387495515610034;0.22050159527812288;0.14192199957169002;0.40678355610044203;0.4429602131950076;0.8992890434453492;1.0;0.2440128551037196;0.8137432455010293;0.26284128288959224;0.5049372244184885;0.3981766659780834
Valencia/València;2004;3;0.48826043655276447;0.14092268902125782;0.17753844492819293;0.13809180446026117;0.37640371839153897;0.4410953422340224;0.906670699373187;1.0;0.2440393374946703;0.8082380871055279;0.2827182591905473;0.5476087983762592;0.4073991304465456
Valencia/València;2004;4;0.5055400827972591;0.1485907440240346;0.17390964851348437;0.13673004914663753;0.37613634473638435;0.4454937555260989;0.8929911715716926;1.0;0.23506331016199955;0.8816598756053491;0.24003009607260373;0.5316714654737608;0.40612137958626743
Valencia/València;2005;1;0.54844701019225;0.14430529173606085;0.2534636038173017;0.0687741559206342;0.3601020964056502;0.4528097829920543;0.8860235809658784;1.0;0.23681127486841028;0.9102366255144031;0.28173476369864553;0.5384318093703554;0.3994938337219634
